Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Stacking,0.6533018867924528,0.24615384615384617,0.6201550387596899,0.3524229074889868,0.6856961110931419
AdaBoost,0.6544811320754716,0.23885350318471338,0.5813953488372093,0.33860045146726864,0.6779495638861036
XGBoost,0.6580188679245284,0.23948220064724918,0.5736434108527132,0.3378995433789954,0.6751625319403565
LightGBM,0.7169811320754716,0.24186046511627907,0.40310077519379844,0.3023255813953488,0.6518528102122888
