Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Stacking,0.6509433962264151,0.24307692307692308,0.6124031007751938,0.34801762114537443,0.6865047277118306
AdaBoost,0.6544811320754716,0.23885350318471338,0.5813953488372093,0.33860045146726864,0.6779495638861036
XGBoost,0.6580188679245284,0.23948220064724918,0.5736434108527132,0.3378995433789954,0.6751625319403565
LightGBM,0.7028301886792453,0.24481327800829875,0.4573643410852713,0.31891891891891894,0.6490603874890837
