dataset_version,model_name,imbalance_method,best_params,cv_best_roc_auc,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc
standard_scaled,decision_tree,smote,"{""model__criterion"": ""entropy"", ""model__max_depth"": 10, ""model__min_samples_leaf"": 1, ""model__min_samples_split"": 5}",0.6209506120726045,0.660377358490566,0.2066420664206642,0.43410852713178294,0.28,0.5833522010544361
standard_scaled,decision_tree,smote+class_weight,"{""model__criterion"": ""entropy"", ""model__max_depth"": 10, ""model__min_samples_leaf"": 1, ""model__min_samples_split"": 5}",0.6209506120726045,0.660377358490566,0.2066420664206642,0.43410852713178294,0.28,0.5833522010544361
unscaled,random_forest,class_weight,"{""model__max_depth"": 10, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 2, ""model__min_samples_split"": 5, ""model__n_estimators"": 200}",0.6911067961165049,0.7889150943396226,0.28448275862068967,0.2558139534883721,0.2693877551020408,0.6619551271684403
robust_scaled,random_forest,class_weight,"{""model__max_depth"": 10, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 2, ""model__min_samples_split"": 5, ""model__n_estimators"": 200}",0.6908028704094555,0.7889150943396226,0.28448275862068967,0.2558139534883721,0.2693877551020408,0.6619982533881037
standard_scaled,random_forest,class_weight,"{""model__max_depth"": 10, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 2, ""model__min_samples_split"": 5, ""model__n_estimators"": 200}",0.6913026593499367,0.7877358490566038,0.2782608695652174,0.24806201550387597,0.26229508196721313,0.6625912389084754
unscaled,decision_tree,smote,"{""model__criterion"": ""entropy"", ""model__max_depth"": 10, ""model__min_samples_leaf"": 1, ""model__min_samples_split"": 5}",0.6258590122414521,0.7558962264150944,0.23648648648648649,0.2713178294573643,0.2527075812274368,0.6394701943914352
unscaled,decision_tree,smote+class_weight,"{""model__criterion"": ""entropy"", ""model__max_depth"": 10, ""model__min_samples_leaf"": 1, ""model__min_samples_split"": 5}",0.6258590122414521,0.7558962264150944,0.23648648648648649,0.2713178294573643,0.2527075812274368,0.6394701943914352
unscaled,random_forest,smote,"{""model__max_depth"": 10, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 2, ""model__min_samples_split"": 5, ""model__n_estimators"": 200}",0.6956656817222455,0.785377358490566,0.26548672566371684,0.23255813953488372,0.24793388429752067,0.6590548888960767
unscaled,random_forest,smote+class_weight,"{""model__max_depth"": 10, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 2, ""model__min_samples_split"": 5, ""model__n_estimators"": 200}",0.6956656817222455,0.785377358490566,0.26548672566371684,0.23255813953488372,0.24793388429752067,0.6590548888960767
robust_scaled,decision_tree,smote,"{""model__criterion"": ""gini"", ""model__max_depth"": 10, ""model__min_samples_leaf"": 1, ""model__min_samples_split"": 5}",0.6245014774166315,0.7028301886792453,0.2,0.3178294573643411,0.24550898203592814,0.5831958685081562
robust_scaled,decision_tree,smote+class_weight,"{""model__criterion"": ""gini"", ""model__max_depth"": 10, ""model__min_samples_leaf"": 1, ""model__min_samples_split"": 5}",0.6245014774166315,0.7028301886792453,0.2,0.3178294573643411,0.24550898203592814,0.5831958685081562
unscaled,knn,smote,"{""model__n_neighbors"": 7, ""model__p"": 2, ""model__weights"": ""distance""}",0.587667370198396,0.5872641509433962,0.1661631419939577,0.4263565891472868,0.2391304347826087,0.5386249204860325
robust_scaled,decision_tree,none,"{""model__criterion"": ""entropy"", ""model__max_depth"": 10, ""model__min_samples_leaf"": 1, ""model__min_samples_split"": 5}",0.6110882228788519,0.8290094339622641,0.34,0.13178294573643412,0.18994413407821228,0.599303511552436
unscaled,decision_tree,none,"{""model__criterion"": ""entropy"", ""model__max_depth"": 10, ""model__min_samples_leaf"": 1, ""model__min_samples_split"": 5}",0.6111574504010131,0.8278301886792453,0.3333333333333333,0.13178294573643412,0.18888888888888888,0.5990447542344556
