dataset_version,model,imbalance_method,accuracy,precision,recall,f1-score,pr_auc,threshold,inference_time,inference_time_per_sample,ROC-AUC
unscaled,AdaBoost,sample_weight,0.49292452830188677,0.20315581854043394,0.7984496124031008,0.3238993710691824,0.2915841145768802,0.4365800733669104,0.03881049156188965,4.5767089106001946e-05,0.6779495638861036
unscaled,XGBoost,scale_pos_weight,0.714622641509434,0.21890547263681592,0.34108527131782945,0.26666666666666666,0.22724550995190773,0.5251216292381287,0.0011591911315917969,1.3669706740469302e-06,0.6008452739054025
unscaled,LightGBM,class_weight,0.8136792452830188,0.24561403508771928,0.10852713178294573,0.15053763440860216,0.1992513635068949,0.7503525152030545,0.0024628639221191406,2.904320662876345e-06,0.5848993541848605
