accuracy,precision,recall,f1,roc_auc,model,pr_auc,threshold
0.7181603773584906,0.25663716814159293,0.4496124031007752,0.3267605633802817,0.6832271350174122,Stacking_ET,0.28040530870160224,0.57479686206329
0.6544811320754716,0.23885350318471338,0.5813953488372093,0.33860045146726864,0.6779495638861036,AdaBoost,,
0.7264150943396226,0.25821596244131456,0.4263565891472868,0.3216374269005848,0.6729954394022706,Stacking_SVM,0.2744280764191745,0.5935560106622391
0.6662735849056604,0.22695035460992907,0.49612403100775193,0.31143552311435524,0.6496641545643712,LightGBM,,
0.7181603773584906,0.25,0.4263565891472868,0.3151862464183381,0.6438205517999807,XGBoost,,
